file_name,filmnr_negativnr,filnavn_a,filnavn_b
USD_UNIHIST_BREV_404791.tif,AAstrand150759f.tif,AAstrand150759f.tif,
USD_UNIHIST_BREV_404795.tif,AAstrand150759s1.tif,AAstrand150759s1.tif,
USD_UNIHIST_BREV_404787.tif,AAstrand150759s2.tif,AAstrand150759s2.tif,
USD_UNIHIST_BREV_404925.tif,AAstrand160958s1.tif,AAstrand160958s1.tif,
USD_UNIHIST_BREV_405098.tif,AAstrand180258f.tif,AAstrand180258f.tif,
USD_UNIHIST_BREV_405111.tif,AAstrand180258s1.tif,AAstrand180258s1.tif,
USD_UNIHIST_BREV_405127.tif,AAstrand180258s2.tif,AAstrand180258s2.tif,
USD_UNIHIST_BREV_405082.tif,AAstrand180258s3.tif,AAstrand180258s3.tif,
USD_UNIHIST_BREV_408850.tif,AAstrand180361s1.tif,AAstrand180361s1.tif,
USD_UNIHIST_BREV_408864.tif,AAstrand180361s2.tif,AAstrand180361s2.tif,
USD_UNIHIST_BREV_408838.tif,AAstrand180361s3.tif,AAstrand180361s3.tif,
USD_UNIHIST_BREV_408882.tif,AAstrand180760s1.tif,AAstrand180760s1.tif,
USD_UNIHIST_BREV_408886.tif,AAstrand180760s2.tif,AAstrand180760s2.tif,
USD_UNIHIST_BREV_408899.tif,AAstrand180760s3.tif,AAstrand180760s3.tif,
USD_UNIHIST_BREV_408878.tif,AAstrand180760s4.tif,AAstrand180760s4.tif,
USD_UNIHIST_BREV_408981.tif,AAstrand190255s1.tif,AAstrand190255s1.tif,
USD_UNIHIST_BREV_408995.tif,AAstrand190255s2.tif,AAstrand190255s2.tif,
USD_UNIHIST_BREV_408963.tif,AAstrand190255s3.tif,AAstrand190255s3.tif,
USD_UNIHIST_BREV_409033.tif,AAstrand190961f.tif,AAstrand190961f.tif,
USD_UNIHIST_BREV_409037.tif,AAstrand190961s1.tif,AAstrand190961s1.tif,
USD_UNIHIST_BREV_409029.tif,AAstrand190961s2.tif,AAstrand190961s2.tif,
USD_UNIHIST_BREV_409041.tif,AAstrand190961v1s1.tif,AAstrand190961v1s1.tif,
USD_UNIHIST_BREV_409057.tif,AAstrand190961v1s2.tif,AAstrand190961v1s2.tif,
USD_UNIHIST_BREV_409197.tif,AAstrand191059f.tif,AAstrand191059f.tif,
USD_UNIHIST_BREV_409201.tif,AAstrand191059s1.tif,AAstrand191059s1.tif,
USD_UNIHIST_BREV_409193.tif,AAstrand191059s2.tif,AAstrand191059s2.tif,
USD_UNIHIST_BREV_409455.tif,AAstrand201261s1.tif,AAstrand201261s1.tif,
USD_UNIHIST_BREV_409451.tif,AAstrand201261s2.tif,AAstrand201261s2.tif,
USD_UNIHIST_BREV_409547.tif,AAstrand230457s1.tif,AAstrand230457s1.tif,
USD_UNIHIST_BREV_409563.tif,AAstrand230457s2.tif,AAstrand230457s2.tif,
USD_UNIHIST_BREV_409576.tif,AAstrand230457s3.tif,AAstrand230457s3.tif,
USD_UNIHIST_BREV_409530.tif,AAstrand230457s4.tif,AAstrand230457s4.tif,
USD_UNIHIST_BREV_409608.tif,AAstrand230761f.tif,AAstrand230761f.tif,
USD_UNIHIST_BREV_409612.tif,AAstrand230761s1.tif,AAstrand230761s1.tif,
USD_UNIHIST_BREV_409616.tif,AAstrand230761s2.tif,AAstrand230761s2.tif,
USD_UNIHIST_BREV_409604.tif,AAstrand230761s3.tif,AAstrand230761s3.tif,
USD_UNIHIST_BREV_409663.tif,AAstrand250660f.tif,AAstrand250660f.tif,
USD_UNIHIST_BREV_409679.tif,AAstrand250660s1.tif,AAstrand250660s1.tif,
USD_UNIHIST_BREV_409647.tif,AAstrand250660s2.tif,AAstrand250660s2.tif,
USD_UNIHIST_BREV_409782.tif,AAstrand250660v1s1.tif,AAstrand250660v1s1.tif,
USD_UNIHIST_BREV_409772.tif,AAstrand250660v1s2.tif,AAstrand250660v1s2.tif,
USD_UNIHIST_BREV_409793.tif,AAstrand250660v2s1.tif,AAstrand250660v2s1.tif,
USD_UNIHIST_BREV_409852.tif,AAstrand260660f.tif,AAstrand260660f.tif,
USD_UNIHIST_BREV_409865.tif,AAstrand260660s1.tif,AAstrand260660s1.tif,
USD_UNIHIST_BREV_409881.tif,AAstrand260660s2.tif,AAstrand260660s2.tif,
USD_UNIHIST_BREV_409839.tif,AAstrand260660s3.tif,AAstrand260660s3.tif,
USD_UNIHIST_BREV_409970.tif,AAstrand260861f.tif,AAstrand260861f.tif,
USD_UNIHIST_BREV_409983.tif,AAstrand260861s1.tif,AAstrand260861s1.tif,
USD_UNIHIST_BREV_409960.tif,AAstrand260861s2.tif,AAstrand260861s2.tif,
USD_UNIHIST_BREV_410025.tif,AAstrand270257f.tif,AAstrand270257f.tif,
USD_UNIHIST_BREV_410041.tif,AAstrand270257s1.tif,AAstrand270257s1.tif,
USD_UNIHIST_BREV_410008.tif,AAstrand270257s2.tif,AAstrand270257s2.tif,
USD_UNIHIST_BREV_410096.tif,AAstrand270561f.tif,AAstrand270561f.tif,
USD_UNIHIST_BREV_410112.tif,AAstrand270561s1.tif,AAstrand270561s1.tif,
USD_UNIHIST_BREV_410128.tif,AAstrand270561s2.tif,AAstrand270561s2.tif,
USD_UNIHIST_BREV_410086.tif,AAstrand270561s3.tif,AAstrand270561s3.tif,
USD_UNIHIST_BREV_410232.tif,AAstrand290362f.tif,AAstrand290362f.tif,
USD_UNIHIST_BREV_410236.tif,AAstrand290362s1.tif,AAstrand290362s1.tif,
USD_UNIHIST_BREV_410243.tif,AAstrand290362s2.tif,AAstrand290362s2.tif,
USD_UNIHIST_BREV_410228.tif,AAstrand290362s3.tif,AAstrand290362s3.tif,
USD_UNIHIST_BREV_410326.tif,AAstrand290859f.tif,AAstrand290859f.tif,
USD_UNIHIST_BREV_410342.tif,AAstrand290859s1.tif,AAstrand290859s1.tif,
USD_UNIHIST_BREV_410313.tif,AAstrand290859s2.tif,AAstrand290859s2.tif,
USD_UNIHIST_BREV_124368.tif,AAstrand300163s1.tif,AAstrand300163s1.tif,
USD_UNIHIST_BREV_124372.tif,AAstrand300163s2.tif,AAstrand300163s2.tif,
USD_UNIHIST_BREV_124364.tif,AAstrand300163s3.tif,AAstrand300163s3.tif,
USD_UNIHIST_BREV_410443.tif,AAstrand301160s1.tif,AAstrand301160s1.tif,
