"foto_kort_id","mediagruppe_enhets_id","file_name","filmnr_negativnr"
5,1876092,USD_UNIHIST_BREV_111299.tif,Balfur290663s1.tif
6,1876143,USD_UNIHIST_BREV_111321.tif,Boeck051225f.tif
6,1876135,USD_UNIHIST_BREV_111317.tif,Boeck051225s2.tif
6,1876127,USD_UNIHIST_BREV_111313.tif,Boeck051225s1.tif
6,1876119,USD_UNIHIST_BREV_111309.tif,Boeck051225s3.tif
8,1876159,USD_UNIHIST_BREV_111329.tif,Boeck120443s1.tif
9,1876167,USD_UNIHIST_BREV_111333.tif,Boeck120726s4.tif
9,1876191,USD_UNIHIST_BREV_111345.tif,Boeck120726s3.tif
9,1876183,USD_UNIHIST_BREV_111341.tif,Boeck120726s2.tif
9,1876175,USD_UNIHIST_BREV_111337.tif,Boeck120726s1.tif
10,1876199,USD_UNIHIST_BREV_111349.tif,Boeck150443s1.tif
11,1876247,USD_UNIHIST_BREV_111373.tif,Boeck200326s5.tif
11,1876207,USD_UNIHIST_BREV_111353.tif,Boeck200326s8.tif
11,1876215,USD_UNIHIST_BREV_111357.tif,Boeck200326s1.tif
11,1876263,USD_UNIHIST_BREV_111381.tif,Boeck200326s7.tif
11,1876231,USD_UNIHIST_BREV_111365.tif,Boeck200326s3.tif
11,1876239,USD_UNIHIST_BREV_111369.tif,Boeck200326s4.tif
11,1876255,USD_UNIHIST_BREV_111377.tif,Boeck200326s6.tif
11,1876223,USD_UNIHIST_BREV_111361.tif,Boeck200326s2.tif
12,1876279,USD_UNIHIST_BREV_111389.tif,Boeck201225f.tif
12,1876271,USD_UNIHIST_BREV_111385.tif,Boeck201225s1.tif
13,1876303,USD_UNIHIST_BREV_111401.tif,Boeck240426s1.tif
13,1876295,USD_UNIHIST_BREV_111397.tif,Boeck240426f.tif
13,1876287,USD_UNIHIST_BREV_111393.tif,Boeck240426s3.tif
13,1876311,USD_UNIHIST_BREV_111405.tif,Boeck240426s2.tif
14,1876319,USD_UNIHIST_BREV_111409.tif,Boeck290462s1.tif
15,1876335,USD_UNIHIST_BREV_111417.tif,Boeck300126s1.tif
15,1876327,USD_UNIHIST_BREV_111413.tif,Boeck300126s2.tif
16,1876343,USD_UNIHIST_BREV_111421.tif,BoeckUdatert1s1.tif
